2014-03-19 12:59:14,729| INFO|WebContainer : 0|it.ccg.pamp.server.properties.PropertiesEAO.loadProperties|System properties loading successed
2014-03-19 12:59:32,615| INFO|WebContainer : 0|it.ccg.pamp.server.bus.Starter.startEqEqDerIndexSensitivityTestBatch|###### Equity, Equity Derivative and Index sensitivity test procedure started
2014-03-19 12:59:36,875| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqSensitivityBatch.createAndStoreSensitivityParamHistory|26 Sensitivity parameter history stored
2014-03-19 12:59:37,199| INFO|WebContainer : 0|it.ccg.pamp.server.bus.Starter.startEqDerivativeSensitivityTestBatch|Equity Derivative Sensitivity test procedure started
2014-03-19 12:59:39,207| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|InstrID 15063: This derivative instrument uses the underlying instrument history (13580)
2014-03-19 12:59:47,781| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 30000 1th - 0.19471276 Date 2000-03-10 00:00:00.0
2014-03-19 12:59:47,781| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 30000 2th - 0.16312057 Date 2000-03-13 00:00:00.0
2014-03-19 12:59:47,782| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 30000 3th - 0.14737931 Date 1999-01-04 00:00:00.0
2014-03-19 12:59:47,782| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 30000 4th - 0.13373403 Date 2008-10-13 00:00:00.0
2014-03-19 12:59:47,783| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 30000 5th - -0.12590799 Date 2001-01-08 00:00:00.0
2014-03-19 12:59:47,783| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 30000 6th - 0.12048193 Date 2008-11-04 00:00:00.0
2014-03-19 12:59:47,783| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 30000 7th - -0.11993022 Date 1999-01-07 00:00:00.0
2014-03-19 12:59:47,784| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 30000 8th - -0.11885246 Date 2008-10-06 00:00:00.0
2014-03-19 12:59:47,784| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 30000 9th - 0.11028994 Date 2000-02-11 00:00:00.0
